"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","600",18,0.275859690376626,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.491589740189378,1,1,1,1,1,1
"no-exposure-control","0.25","600",19,0.273682313955268,0.0733333333333333,0.273333333333333,0.246666666666667,0.225,0.484127623740111,1,1,1,1,1,1
"no-exposure-control","0.25","600",20,0.278618204974372,0.0733333333333333,0.273333333333333,0.25,0.223333333333333,0.484809164047449,1,1,1,1,1,1
"no-exposure-control","0.25","600",21,0.278289135903494,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.483753214822316,1,1,1,1,1,1
"no-exposure-control","0.25","600",22,0.274525752172885,0.075,0.273333333333333,0.246666666666667,0.223333333333333,0.484374528215433,1,1,1,1,1,1
"no-exposure-control","0.25","600",23,0.273775570250934,0.0733333333333333,0.27,0.245,0.225,0.484295355127672,1,1,1,1,1,1
"no-exposure-control","0.25","600",24,0.275693302725364,0.0733333333333333,0.273333333333333,0.246666666666667,0.228333333333333,0.483742398663524,1,1,1,1,1,1
"no-exposure-control","0.25","600",25,0.274437667577559,0.0733333333333333,0.273333333333333,0.246666666666667,0.223333333333333,0.491898997470058,1,1,1,1,1,1
"no-exposure-control","0.25","600",26,0.277684407123455,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.484397513375907,1,1,1,1,1,1
"no-exposure-control","0.25","600",27,0.273190670088276,0.075,0.273333333333333,0.246666666666667,0.225,0.484410431401652,1,1,1,1,1,1
"no-exposure-control","0.25","600",28,0.274844440282496,0.0716666666666667,0.273333333333333,0.246666666666667,0.226666666666667,0.484143777777129,1,1,1,1,1,1
"no-exposure-control","0.25","600",29,0.273184598123873,0.075,0.273333333333333,0.246666666666667,0.226666666666667,0.484915345370327,1,1,1,1,1,1
"no-exposure-control","0.25","600",30,0.279252832976482,0.075,0.273333333333333,0.248333333333333,0.228333333333333,0.484040702876706,1,1,1,1,1,1
"no-exposure-control","0.25","600",31,0.272622215877123,0.0733333333333333,0.273333333333333,0.248333333333333,0.223333333333333,0.492100818126894,1,1,1,1,1,1
"no-exposure-control","0.25","600",32,0.275486753882214,0.0733333333333333,0.273333333333333,0.246666666666667,0.225,0.491853009247788,1,1,1,1,1,1
"no-exposure-control","0.25","600",33,0.274146369346675,0.075,0.271666666666667,0.246666666666667,0.223333333333333,0.484290450267379,1,1,1,1,1,1
"no-exposure-control","0.25","600",34,0.272091537431991,0.0716666666666667,0.273333333333333,0.246666666666667,0.226666666666667,0.492333321814054,1,1,1,1,1,1
"no-exposure-control","0.25","600",35,0.27616117918151,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.491935781100147,1,1,1,1,1,1
"no-exposure-control","0.25","600",36,0.280467520933968,0.075,0.275,0.248333333333333,0.226666666666667,0.484817606655094,1,1,1,1,1,1
"no-exposure-control","0.25","600",37,0.272981372379805,0.075,0.273333333333333,0.246666666666667,0.225,0.492725584489439,1,1,1,1,1,1
"no-exposure-control","0.25","600",38,0.27780992040178,0.0733333333333333,0.273333333333333,0.246666666666667,0.228333333333333,0.490837148720756,1,1,1,1,1,1
"no-exposure-control","0.25","600",39,0.278288433103388,0.075,0.273333333333333,0.246666666666667,0.225,0.483850611102944,1,1,1,1,1,1
"no-exposure-control","0.25","600",40,0.274457759598108,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.491746179586503,1,1,1,1,1,1
"no-exposure-control","0.25","600",41,0.277437371498272,0.0733333333333333,0.273333333333333,0.246666666666667,0.228333333333333,0.485287781901015,1,1,1,1,1,1
"no-exposure-control","0.25","600",42,0.275727256125579,0.075,0.273333333333333,0.246666666666667,0.223333333333333,0.484680761896951,1,1,1,1,1,1
"no-exposure-control","0.25","600",43,0.275511311716751,0.0733333333333333,0.271666666666667,0.25,0.223333333333333,0.493160918301633,1,1,1,1,1,1
"no-exposure-control","0.25","600",44,0.275436753933728,0.0733333333333333,0.271666666666667,0.246666666666667,0.225,0.484831819591635,1,1,1,1,1,1
"no-exposure-control","0.25","600",45,0.275342842068552,0.0733333333333333,0.271666666666667,0.246666666666667,0.225,0.485202748759223,1,1,1,1,1,1
"no-exposure-control","0.25","600",46,0.27133402189373,0.0733333333333333,0.273333333333333,0.246666666666667,0.223333333333333,0.492189766760792,1,1,1,1,1,1
"no-exposure-control","0.25","600",47,0.275934886166461,0.0733333333333333,0.273333333333333,0.248333333333333,0.226666666666667,0.492403570305504,1,1,1,1,1,1
"no-exposure-control","0.25","600",48,0.277152131459359,0.075,0.271666666666667,0.246666666666667,0.226666666666667,0.483802993797578,1,1,1,1,1,1
"no-exposure-control","0.25","600",49,0.273856900412796,0.0733333333333333,0.275,0.246666666666667,0.228333333333333,0.484809450544717,1,1,1,1,1,1
"no-exposure-control","0.25","600",50,0.272453876975103,0.0733333333333333,0.27,0.248333333333333,0.228333333333333,0.48432935722173,1,1,1,1,1,1
"no-exposure-control","0.25","600",51,0.276627153675653,0.0733333333333333,0.273333333333333,0.248333333333333,0.223333333333333,0.483895276162546,1,1,1,1,1,1
"no-exposure-control","0.25","600",52,0.273710277467789,0.0733333333333333,0.271666666666667,0.246666666666667,0.225,0.484185761003201,1,1,1,1,1,1
"no-exposure-control","0.25","600",53,0.27253564454626,0.0733333333333333,0.273333333333333,0.246666666666667,0.223333333333333,0.484274112761147,1,1,1,1,1,1
"no-exposure-control","0.25","600",54,0.274025084232699,0.075,0.271666666666667,0.248333333333333,0.226666666666667,0.484177231952388,1,1,1,1,1,1
"no-exposure-control","0.25","600",55,0.271899103331485,0.0733333333333333,0.275,0.246666666666667,0.226666666666667,0.485345336744953,1,1,1,1,1,1
"no-exposure-control","0.25","600",56,0.275806910400431,0.075,0.271666666666667,0.248333333333333,0.225,0.484414101075295,1,1,1,1,1,1
"no-exposure-control","0.25","600",57,0.271721426649374,0.075,0.273333333333333,0.246666666666667,0.225,0.492727182990065,1,1,1,1,1,1
"no-exposure-control","0.25","600",58,0.279947611811716,0.075,0.275,0.248333333333333,0.223333333333333,0.485252454260215,1,1,1,1,1,1
"no-exposure-control","0.25","600",59,0.274046670694286,0.0733333333333333,0.275,0.246666666666667,0.225,0.484842223934476,1,1,1,1,1,1
"no-exposure-control","0.25","600",60,0.276048449354854,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.485327489647754,1,1,1,1,1,1
"no-exposure-control","0.25","600",61,0.27909840717765,0.0733333333333333,0.271666666666667,0.246666666666667,0.225,0.492365737403979,1,1,1,1,1,1
"no-exposure-control","0.25","600",62,0.277724446049704,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.48386050783411,1,1,1,1,1,1
"no-exposure-control","0.25","600",63,0.279059298961059,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.484106454196863,1,1,1,1,1,1
